interface,overload_control,Load,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count,Request
S_102000854,breakwater,15000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6160.223217552098,5492.740955948855,286.74351154,239.56941991666656,122.29700133333333,277.83644333451355,103.95739455514511,25.77455241027444,23.930182092227803,15.89078134381936,3,S_102000854
S_102000854,breakwater,16000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,8.34044009405148,True,400,100us,0us,20,0.001,True,step,1000us,605,1.4406489868843162,0.05,breakwater,10ms,0.01,False,1937us,2935us,6662.313776297897,5565.7693936847645,349.5920570199999,274.64172315,143.424424,13.816386258755983,213.1664303270038,46.47385797999988,22.013745850000014,8.710566,2,S_102000854
S_102000854,breakwaterd,1000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,961.0175298099604,961.0175298099604,44.273034646666666,42.98443215,41.21154216666667,39.38191250943935,39.38191250943935,0.1331596226755495,0.0604524761086095,0.0431064012654257,3,S_102000854
S_102000854,breakwaterd,2000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,1914.9985832194416,1914.9985832194416,45.89269511333331,43.39237366666666,40.75166033333333,22.420319498633173,22.420319498633173,0.2545701009215446,0.0324610147472868,0.02259536552162,3,S_102000854
S_102000854,breakwaterd,3000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,2830.8401986266467,2830.8401986266467,51.91576714666664,47.69792593333333,42.15737683333334,123.72629075989578,123.72629075989578,0.9100246488402493,0.5579594981652881,0.2489204328811166,3,S_102000854
S_102000854,breakwaterd,4000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,3823.880410222035,3823.880410222035,60.60684240000004,52.82708885,44.43578233333333,55.204321314830665,55.204321314830665,0.6299059025108574,0.2085436358417823,0.0231746090126449,3,S_102000854
S_102000854,breakwaterd,5000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,3740.55527813649,3740.55527813649,82.9354650566667,69.60476748333333,52.3728085,1199.6844406037403,1199.6844406037403,7.963885384993344,5.294385554280398,1.988875801969672,3,S_102000854
S_102000854,breakwaterd,6000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,208.29466633564547,208.29466633564547,104.95242016,94.10750123333332,66.77226833333333,125.18545460051286,125.18545460051286,8.014364567451858,5.02139473673507,5.370058931140106,3,S_102000854
S_102000854,breakwaterd,7000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,382.5012205099265,381.89005151884834,164.48543226333334,144.718063,95.90980066666668,164.70482911834952,164.88922044398876,29.01028519161257,20.529378553085905,5.237092377560308,3,S_102000854
S_102000854,breakwaterd,8000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,108,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,28396us,18100us,349.73086030558005,349.4585594065514,182.86644456,161.61232983333332,116.17624216666668,294.29009959337867,293.90621146770377,8.72098877403987,8.3426342666809,8.441408634092754,3,S_102000854
