interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
motivate-set,breakwater,18000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,6378.344563154111,6377.872329753631,55.13988080433333,42.18434907166666,26.485571016666665,603.0382488349602,603.2282117842092,8.813468082389699,4.2920863779794285,0.6992842403555525,34
motivate-set,breakwater,20000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,5932.661804679194,5931.610193569979,66.08511583699996,50.11065240833333,28.812330550000002,2022.7865997126848,2022.5032053553998,9.064264101645497,5.553350916918344,2.069785027789253,34
motivate-set,breakwater,22000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,5893.669523301916,5883.104002550999,88.31349443624998,62.17604294583332,32.3073273125,2635.554990044404,2630.7332332366555,16.356376838982463,9.23106037167005,1.9721560068255817,32
motivate-set,breakwater,24000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,6358.399207471199,6259.6565522307055,147.89637548090911,89.85058842045453,38.17635222727273,2896.928556116261,2848.4967220125864,40.14739692066671,12.720770176466603,2.0834302467266395,35
motivate-set,breakwater,26000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,7468.80315453031,7039.973597260739,319.5078258335715,146.81621496607133,41.59766021428572,1924.3704675159834,1759.610292612178,157.79810119093912,57.14033936040723,3.9124266012904862,32
motivate-set,breakwater,28000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,7261.019702313573,6382.537170458166,617.9605918647828,320.91051838260853,48.038360000000004,2377.3909021671643,2079.24955665179,221.44137207751456,134.050342951584,4.894248590702971,32
motivate-set,breakwater,30000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.869458465975631,True,400,100us,484us,20,0.001,True,step,1000us,255,0.5056524813385149,0.05,breakwater,10ms,0.01,False,5724us,8986us,6704.47870631913,5724.211667290647,872.4109633628577,414.9944771178569,50.86884875,2559.1064722259225,2232.6365321753524,180.45680688007812,165.04766275862642,7.9787452118111375,31
motivate-set,breakwaterd,10000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,270,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,23536us,18100us,3635.454420902625,3635.454420902625,38.81301629857144,31.853197778571424,24.48700357142857,190.6257833258933,190.6257833258933,1.3535406178178457,0.8995030616738815,0.10630898718104415,7
motivate-set,breakwaterd,12000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,270,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,23536us,18100us,4204.313696691459,4204.313696691459,43.43647333857143,34.80019776428571,24.83734042857143,180.16666091628642,180.16666091628642,1.724604003694345,0.7534629513989628,0.07810758261180009,7
motivate-set,breakwaterd,14000,7.16324267765976,True,11335us,2ms,10ms,False,10ms,10ms,True,0,8.52203709658313,True,1415,100us,4947us,20,9.892631925098604,True,step,16898us,270,9.873027806416664,0.05,breakwaterd,45230us,0.01,False,23536us,18100us,5089.227745873098,5089.194031233938,51.36394952999999,39.79724104166666,25.372102583333334,637.9777693229128,638.0393175712331,2.208626448315132,1.2955952720595978,0.31786166601479543,6
