timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_RTT,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,LATENCY_THRESHOLD,TOKEN_UPDATE_RATE,PRICE_STRATEGY,BREAKWATERD_INITIAL_CREDIT,LAZY_UPDATE,PRICE_UPDATE_RATE,RATE_LIMITING,DAGOR_ALPHA,BREAKWATER_INITIAL_CREDIT,BREAKWATER_A,BREAKWATERD_CLIENT_EXPIRATION,CHARON_TRACK_PRICE,BREAKWATERD_B,BREAKWATER_CLIENT_EXPIRATION,LOAD_SHEDDING,BREAKWATER_B,BREAKWATER_RTT,BREAKWATERD_LOAD_SHEDDING,INTERCEPT,PRICE_STEP,DAGOR_UMAX,BREAKWATER_TRACK_CREDIT,BREAKWATERD_SLO,DAGOR_BETA,BREAKWATER_SLO,BREAKWATERD_A,DAGOR_QUEUING_THRESHOLD,BREAKWATER_LOAD_SHEDDING
0607_1132,S_102000854,dagor,11000,4171.918648928596,4096.442914325646,228.05013814999984,183.405001,101.6937605,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-11000-0607_1132.json,1000us,5443us,100us,10ms,step,400,false,10ms,true,0.274757894880173,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,dagor,0,16,false,12500us,2.6518845382867213,12500us,0.001,1582us,true
0607_1257,motivate-set,charon,30000,19057.83866691849,3032.2429037276593,990.69822809,905.20384335,387.5679545,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0607_1257.json,1000us,10ms,2191us,20309us,linear,400,true,2150us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,12,20,false,12500us,0.01,12500us,0.001,2ms,true
0607_1236,motivate-set,breakwater,30000,22736.571609704166,7188.024533552254,951.8231002800003,774.6828696999997,235.889415,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-30000-0607_1236.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,220,14.74719477841015,10ms,false,0.02,5741us,true,0.16008763535124115,29875us,true,breakwater,0,20,false,12500us,0.01,35017us,0.001,2ms,true
0607_1008,S_102000854,breakwater,6000,5669.208748434959,5669.208748434959,80.88656758,68.56000259999999,51.392825,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-6000-0607_1008.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1,26.040867251256383,10ms,false,0.02,1000us,true,0.0,2654us,true,breakwater,0,20,false,12500us,0.01,1420us,0.001,2ms,true
0607_1023,S_102000854,breakwater,12000,7640.795800603289,6623.459331590663,318.3343685299995,261.04191205,148.7969325,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-12000-0607_1023.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1,26.040867251256383,10ms,false,0.02,1000us,true,0.0,2654us,true,breakwater,0,20,false,12500us,0.01,1420us,0.001,2ms,true
0607_0241,motivate-set,charon,18000,4638.618917965171,4638.618917965171,37.89752743999995,31.903135599999995,24.671072,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-18000-0607_0241.json,1000us,10ms,367us,23465us,linear,400,true,21392us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,150,20,false,12500us,0.01,12500us,0.001,2ms,true
0607_1047,S_102000854,breakwaterd,7000,6516.918421658744,6509.913973009799,173.91197091999996,143.05203349999994,90.435676,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwaterd-parallel-capacity-7000-0607_1047.json,8754us,10ms,100us,10ms,step,2892,false,10ms,true,0.05,385,8.097836752950782,50492us,false,9.494892587070712,2141us,true,8.958862181960669,13268us,true,breakwaterd,0,20,false,26591us,0.01,34867us,1.1474597295337519,2ms,true
0607_1219,S_149998854,charon,14000,3351.2542247194215,3351.2542247194215,417.46493268000006,291.44018439999996,132.802491,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-14000-0607_1219.json,1000us,10ms,7192us,43793us,linear,400,true,2216us,true,0.05,400,0.001,10ms,false,0.02,10ms,true,0.02,1000us,true,charon,57,20,false,12500us,0.01,12500us,0.001,2ms,true
0607_1254,motivate-set,breakwater,30000,5237.7738461703275,4516.993663353194,442.3648380999995,295.859305,78.805633,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-30000-0607_1254.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,499,15.597570028003883,10ms,false,0.02,2437us,true,2.4840912758531735,7416us,true,breakwater,0,20,false,12500us,0.01,3285us,0.001,2ms,true
0607_0247,S_102000854,breakwater,10000,7279.372221600882,6955.794219220287,252.13224118999995,211.55487204999974,106.320074,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-breakwater-parallel-capacity-10000-0607_0247.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1,26.040867251256383,10ms,false,0.02,1000us,true,0.0,2654us,true,breakwater,0,20,false,12500us,0.01,1420us,0.001,2ms,true
0607_1225,S_149998854,breakwater,1000,999.9854280750974,999.9854280750974,117.3374515,115.160271,113.02022550000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-breakwater-parallel-capacity-1000-0607_1225.json,1000us,10ms,100us,10ms,step,400,false,10ms,true,0.05,1776,0.2895180150248522,10ms,false,0.02,82us,true,1.2813105474595612,18779us,true,breakwater,0,20,false,12500us,0.01,4618us,0.001,2ms,true
