interface,control_scheme,capacity,BREAKWATERD_B,RATE_LIMITING,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,PRICE_UPDATE_RATE,LAZY_UPDATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,TOKEN_UPDATE_RATE,LOAD_SHEDDING,PRICE_STEP,BREAKWATER_A,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_INITIAL_CREDIT,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,DAGOR_UMAX,BREAKWATERD_A,BREAKWATERD_LOAD_SHEDDING,PRICE_STRATEGY,BREAKWATERD_RTT,BREAKWATER_INITIAL_CREDIT,BREAKWATER_B,DAGOR_ALPHA,INTERCEPT,BREAKWATERD_CLIENT_EXPIRATION,DAGOR_BETA,BREAKWATER_SLO,BREAKWATER_RTT,Throughput,Goodput,99th_percentile,95th_percentile,Median Latency,Throughput std,Goodput std,99th_percentile std,95th_percentile std,Median Latency std,file_count
S_161142529,rajomon,16000,0.02,True,12500us,2ms,9896us,False,10ms,18931us,True,41,0.001,True,400,9831us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,4443.601447806889,582.1684699946785,9349.914088549993,6677.25792,1681.1432095,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,17000,0.02,True,12500us,2ms,818us,False,10ms,44333us,True,430,0.001,True,400,106us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,450.169385379744,283.696370490482,3492.9685875900045,2360.1090572666667,257.42301033333337,15.576918680861892,65.20452966784893,445.93743616782194,1211.9751567790004,139.67497104206046,3
S_161142529,rajomon,18000,0.02,True,12500us,2ms,818us,False,10ms,44333us,True,430,0.001,True,400,106us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,183.99342138096745,134.2934538723212,3827.7481774,953.0626848,161.615483,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,18000,0.02,True,12500us,2ms,8515us,False,10ms,23704us,True,81,0.001,True,400,8380us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,2970.429613899708,865.0499432921038,10074.221660669999,7240.594101249999,1184.2763645,242.81717513425372,128.34383215240305,1751.8198635699978,227.52720275000024,451.25985949999995,2
S_161142529,rajomon,18000,0.02,True,12500us,2ms,894us,False,10ms,36902us,True,184,0.001,True,400,762us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,1335.6472564084338,1013.847940374209,4817.420187755,1931.0179492749953,139.657446375,403.84791281358685,362.59218715353506,733.0681363120568,1249.2147485199855,37.38677976662914,4
S_161142529,rajomon,18000,0.02,True,12500us,2ms,9077us,False,10ms,24922us,True,106,0.001,True,400,11902us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,2260.647275393415,1241.3635090459998,8119.611509685989,5199.547261449997,328.03398189999996,248.04671953228717,107.6519185168546,949.8627031621862,2314.2315216531047,57.30287688169961,5
S_161142529,rajomon,18000,0.02,True,12500us,2ms,9896us,False,10ms,18931us,True,41,0.001,True,400,9831us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,3731.991063270481,653.5762660690659,8175.854734560004,5780.061884399999,1368.317577,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,19000,0.02,True,12500us,2ms,818us,False,10ms,44333us,True,430,0.001,True,400,106us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,357.85060106564526,289.6262764958043,4759.054906799999,910.3462176,68.699209,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,19000,0.02,True,12500us,2ms,894us,False,10ms,36902us,True,184,0.001,True,400,762us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,826.0608418826819,528.2792948938855,4713.604550420005,3669.6777033999992,156.589217,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,19999,0.02,True,12500us,2ms,9896us,False,10ms,18931us,True,41,0.001,True,400,9831us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,3953.69826660264,971.4328517523244,9380.735645920004,6132.801075000003,1006.540277,0.0,0.0,0.0,0.0,0.0,1
S_161142529,rajomon,20000,0.02,True,12500us,2ms,6008us,False,10ms,16218us,True,146,0.001,True,400,8786us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,2484.6748185360793,594.7748301027174,11887.082745439993,8844.730096799998,1628.463721,737.9066206116826,277.2250248584556,1124.213273639998,309.0963659999993,501.69644800000015,2
S_161142529,rajomon,20000,0.02,True,12500us,2ms,8515us,False,10ms,23704us,True,81,0.001,True,400,8380us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,3138.8412320290504,633.2663052842946,13104.40985006,10406.9517948,2281.3496585,29.10838456270767,259.39433795437566,286.02016441999876,333.08521879999716,863.6647265,2
S_161142529,rajomon,20000,0.02,True,12500us,2ms,9896us,False,10ms,18931us,True,41,0.001,True,400,9831us,10ms,20,0.001,True,linear,1000us,400,0.02,0.05,rajomon,10ms,0.01,12500us,1000us,3641.475961159824,576.6707592975293,10617.024793250002,8798.69308875,2371.5718875,0.0,0.0,0.0,0.0,0.0,1
S_161142529,topdown,1111,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1109.595909489674,1109.595909489674,69.89642306999995,67.1967141,64.133713,0.0,0.0,0.0,0.0,0.0,1
S_161142529,topdown,1999,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1998.6616537218008,1998.6616537218008,74.09976868,69.54861120000001,64.249707,0.0,0.0,0.0,0.0,0.0,1
S_161142529,topdown,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1997.6403610027464,1997.6403610027464,73.66437867599997,69.23796428,64.2114573,1.8953809512148303,1.8953809512148303,1.2589041420555882,0.3815461872117988,0.04631845917299136,5
S_161142529,topdown,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,2999.3123756238338,2999.3123756238338,82.31956306,75.29735595,65.97296349999999,2.703195329403206,2.703195329403206,1.3811102408012295,0.5440869027797065,0.16154311789611792,5
S_161142529,topdown,4000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,3995.14394625222,3995.14394625222,104.18301073999996,91.27781894,72.28589400000001,3.682635959358431,3.682635959358431,1.6835017666824243,0.4547070673952327,0.47398383122074905,5
S_161142529,topdown,5000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,4999.315630642052,4999.315630642052,172.12392017799996,139.75772963999998,90.95676639999999,10.519834724719521,10.519834724719521,10.641343326089997,6.758726425070345,0.3898698527352913,5
S_161142529,topdown,6000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,5837.976170243113,5671.526571200132,424.43854015200003,343.7871161399999,167.9822649,165.05719585384793,308.0592837946974,72.0957960007413,44.311214644894804,10.828229671650103,5
S_161142529,topdown,7000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,5396.54356784065,4745.058247089664,645.3748785519998,524.21092031,181.9319797,629.9971787126904,868.2718043980069,150.57585013434291,131.1260555265815,9.465039684982473,5
S_161142529,topdown,8000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,4661.907215153498,3565.8811394090867,653.3465465059999,511.63453454,216.2013726,1544.3033395112313,1024.0475768209865,274.9717134599913,210.02819987848935,74.81294647704006,5
S_161142529,topdown,9000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,3917.6360817421037,2218.086274585659,3129.658590638,1130.129519719999,327.754924,278.87858032636547,109.15203843764985,688.3477827796992,137.21459139342448,24.00128114742983,5
S_161142529,topdown,9999,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1432.3634128767007,1280.3939021461167,2791.7367099999774,670.452374,85.789284,0.0,0.0,0.0,0.0,0.0,1
S_161142529,topdown,10000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,3166.026811256264,1661.992894828972,3841.3934802960002,1782.13347045999,330.8226995,822.9065854345436,309.80893171414857,1421.7636927622184,981.6616542793781,132.87734098607535,5
S_161142529,topdown,11000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,3105.315326884237,1414.246089633784,4602.963305674,2267.414245339999,410.0549819,462.93577086055905,246.61654750747763,293.6242042038253,530.0922603668372,21.14043032001168,5
S_161142529,topdown,12000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,2719.1300453566064,1264.8116426112606,5632.766143794005,2752.0143220800005,373.3802013,836.163244454481,274.6160706930548,537.5607338136223,1260.0734892023881,149.4791911619109,5
S_161142529,topdown,13000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,2673.6553212360527,1280.5824233835308,5452.227266221997,3071.533949259997,397.4695392,251.02006302764562,220.56556301705479,381.63085947906586,1076.3636341600127,40.26826210416273,5
S_161142529,topdown,14000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,2230.411203674061,1316.153098233679,4721.699234333997,2378.7393767199983,263.0053186,770.769120965349,184.3466397311638,1928.2891560341131,1462.6370617385987,147.71624881780022,5
S_161142529,topdown,16000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1419.152799246411,1003.1052242888454,7355.087617106667,3535.959841016667,151.4536195,343.0871966010438,94.74940647146079,1322.4967018632794,3722.0549897880132,92.67769892854496,3
S_161142529,topdown,18000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.001,True,400,100us,10ms,20,0.001,True,step,1000us,400,0.02,0.05,topdown,10ms,0.01,12500us,1000us,1468.634671240782,1032.1622926238267,6810.6760414400005,3031.136349099998,179.9966465,385.99098457854393,101.27975185663009,1389.5645580268392,2693.0166533464026,99.07826994804581,3
compose,breakwater,1000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0047167323012322,True,400,100us,604us,20,0.001,True,step,1000us,514,3.355647522171787,0.05,breakwater,10ms,0.01,11452us,1790us,1000.7712234121598,1000.7712234121598,12.2444483,9.9799859,7.1695530000000005,0.0,0.0,0.0,0.0,0.0,1
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1e-05,True,400,100us,800us,20,0.001,True,step,1000us,400,10.0,0.05,breakwater,10ms,0.01,10058us,1363us,2001.9852577029178,1883.1980626681793,229.11280179999991,135.67496139999975,10.6106465,11.193535910696653,60.09365552866092,87.92759435999992,59.83207419999968,0.3138114999999999,2
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0001,True,400,100us,800us,20,0.001,True,step,1000us,700,4.0,0.05,breakwater,10ms,0.01,8000us,2000us,1945.344883151581,1937.119157133456,57.5936745199999,22.65774339,9.469916000000001,120.49054275090823,116.32324697070486,27.683135834550974,3.109700105585656,0.2812415978648961,5
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0036940938913493,True,400,100us,471us,20,0.001,True,step,1000us,640,0.6331286183211375,0.05,breakwater,10ms,0.01,3101us,1911us,2018.4670452817054,1989.9358302352223,113.25311491666668,21.271405750000003,8.955470833333335,2.6722695341478238,7.2704418111310884,18.432773258247185,1.2645965974841185,0.10528574888553997,3
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0047167323012322,True,400,100us,604us,20,0.001,True,step,1000us,514,3.355647522171787,0.05,breakwater,10ms,0.01,11452us,1790us,1983.4525930694533,1968.6922098488776,79.34595839999997,22.924033489999992,8.5818787,38.63687776806726,37.9895571788543,27.08573066748074,3.9421835536667276,1.1346721265263198,5
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0098436999149666,True,400,100us,970us,20,0.001,True,step,1000us,519,9.00104487509599,0.05,breakwater,10ms,0.01,9262us,1630us,2010.7048629185822,1983.3052166432349,114.50183179999968,21.40069069,9.7361328,8.145161850424037,10.307882142595513,33.67925485070233,2.062957941194745,0.27956453591981173,5
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0108221934834099,True,400,100us,417us,20,0.001,True,step,1000us,596,2.999974126060698,0.05,breakwater,10ms,0.01,8344us,1119us,1886.4170073116024,1846.4306097635822,111.09682067599992,37.52908865999999,9.485704,264.37143177232025,250.18167598340588,33.734404596526005,25.13817347513418,0.5752336818160081,5
compose,breakwater,2000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0204531804506544,True,400,100us,410us,20,0.001,True,step,1000us,834,4.75623487278189,0.05,breakwater,10ms,0.01,8676us,1966us,1944.4086320298989,1838.4974557771893,210.94597334000005,96.84349294999961,10.1983852,121.0771424924422,115.17378428060853,48.11507866819997,25.48219199358624,0.5313343212981448,5
compose,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,1e-05,True,400,100us,800us,20,0.001,True,step,1000us,400,10.0,0.05,breakwater,10ms,0.01,10058us,1363us,2333.9579635555765,76.96266560658982,971.6892980366666,934.4727711166666,532.294021,100.44141820305106,84.66443239756154,25.36617277651238,39.93691823890715,133.41963520186994,3
compose,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0001,True,400,100us,800us,20,0.001,True,step,1000us,700,4.0,0.05,breakwater,10ms,0.01,8000us,2000us,2368.247438326272,664.2557314929044,699.44009325,664.10929834,235.29676910000003,163.14947109647812,828.279618106335,373.22033074819325,358.9909586861789,208.31376877099387,5
compose,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0036940938913493,True,400,100us,471us,20,0.001,True,step,1000us,640,0.6331286183211375,0.05,breakwater,10ms,0.01,3101us,1911us,2340.842827524546,754.003259506228,508.9692222433334,473.43348914999996,249.4842475,450.1157655556563,667.2180135549751,306.0303880294203,315.5954842212575,170.84614004300272,3
compose,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0047167323012322,True,400,100us,604us,20,0.001,True,step,1000us,514,3.355647522171787,0.05,breakwater,10ms,0.01,11452us,1790us,2407.8668096671763,735.9157352586515,675.6422963980001,638.90942781,356.7682161,364.2924449487842,835.0232135161309,379.8800058574131,364.97738286585246,233.09149602805587,5
compose,breakwater,3000,0.02,True,12500us,2ms,10ms,False,10ms,10ms,True,0,0.0069667581330883,True,400,100us,545us,20,0.001,True,step,1000us,600,1.4288738678564965,0.05,breakwater,10ms,0.01,2997us,1842us,2540.164734525263,1220.3405568044357,595.710435565,512.51187465,270.81295525,27.884169806854402,1195.0574190642653,388.949780595,415.83222650000005,250.75328974999996,2
