timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATER_INITIAL_CREDIT,RATE_LIMITING,DAGOR_ALPHA,BREAKWATER_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE,BREAKWATER_A,BREAKWATERD_A,BREAKWATERD_INITIAL_CREDIT,CHARON_TRACK_PRICE,BREAKWATER_TRACK_CREDIT,BREAKWATERD_RTT,INTERCEPT,LAZY_UPDATE,BREAKWATERD_LOAD_SHEDDING,BREAKWATERD_B,DAGOR_UMAX,BREAKWATERD_CLIENT_EXPIRATION,PRICE_UPDATE_RATE,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,DAGOR_QUEUING_THRESHOLD,BREAKWATER_SLO,LATENCY_THRESHOLD,BREAKWATER_RTT,PRICE_STEP,BREAKWATER_B,BREAKWATER_LOAD_SHEDDING,LOAD_SHEDDING,DAGOR_BETA,PRICE_STRATEGY,BREAKWATERD_SLO,interfaces,total_goodput,total_throughput
0618_2024,S_102000854,charon,8000,1295.209330109136,1002.7427071812666,918.06657005,820.5664065999999,44.3029585,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-8000-0618_2024.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3396.1590570852586,3916.291200458567
0618_2028,S_149998854,charon,9000,2243.534543223493,2194.6930491283997,638.1830551000005,481.045636,143.033432,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-9000-0618_2028.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3531.076742849135,3950.8836030863213
0618_2028,S_102000854,charon,9000,631.4964123039148,504.2892441335624,698.7261844000001,673.14837,43.352539,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-9000-0618_2028.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3531.076742849135,3950.8836030863213
0618_2028,S_161142529,charon,9000,1075.852647558913,832.0944495871727,615.4885900400001,529.1262694999999,66.712433,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-9000-0618_2028.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",3531.076742849135,3950.8836030863213
0618_2033,S_149998854,charon,10000,1256.2802515667224,1117.499760097788,766.33044456,667.7599786000001,119.109575,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-10000-0618_2033.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",2851.4682928201364,3363.981532861378
0618_2033,S_161142529,charon,10000,1206.6209478037092,970.432182645037,682.4668986,490.80164019999984,65.2599335,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-10000-0618_2033.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",2851.4682928201364,3363.981532861378
0618_2033,S_102000854,charon,10000,901.0803334909464,763.5363500773115,781.8697947400001,738.9896303999999,42.206926,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-10000-0618_2033.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",2851.4682928201364,3363.981532861378
0618_2037,S_149998854,charon,11000,1688.0023874283586,1688.0023874283586,471.8166464500002,425.128964,120.5645695,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-11000-0618_2037.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",4565.989207183124,5013.320334607015
0618_2037,S_102000854,charon,11000,901.5479941547115,714.4151015736627,974.2963151399996,759.6211801000002,43.40772,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-11000-0618_2037.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",4565.989207183124,5013.320334607015
0618_2037,S_161142529,charon,11000,2423.7699530239447,2163.5717181811024,815.3169621499992,531.40539955,85.892333,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-charon-parallel-capacity-11000-0618_2037.json,400,True,0.05,10ms,75666us,0.001,0.001,400,False,False,1000us,charon,True,True,0.02,20,10ms,8394us,10ms,2ms,12500us,13360us,1000us,48,0.02,True,True,0.01,linear,12500us,"('S_102000854', 'S_149998854', 'S_161142529')",4565.989207183124,5013.320334607015
