timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,BREAKWATERD_SLO,DAGOR_QUEUING_THRESHOLD,BREAKWATER_A,DAGOR_ALPHA,PRICE_UPDATE_RATE,BREAKWATER_SLO,INTERCEPT,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_A,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,BREAKWATERD_LOAD_SHEDDING,LATENCY_THRESHOLD,PRICE_STEP,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_B,DAGOR_UMAX,BREAKWATER_INITIAL_CREDIT,BREAKWATER_CLIENT_EXPIRATION,RATE_LIMITING,LOAD_SHEDDING,DAGOR_BETA,CHARON_TRACK_PRICE,BREAKWATER_RTT,LAZY_UPDATE,BREAKWATER_B,PRICE_STRATEGY,BREAKWATERD_CLIENT_EXPIRATION,TOKEN_UPDATE_RATE
0531_0649,S_102000854,dagor,16000,423.13025985097573,24.908103959250752,1026.23658432,933.6536847499967,562.4511975,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-16000-0531_0649.json,12500us,95372us,0.001,0.08439116013436099,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,17324us,0.02,6,400,10ms,true,true,1.2644682277219155,false,1000us,false,0.02,step,10ms,10ms
0528_2252,S_161142529,breakwater,10000,8097.821991876552,1062.652166624023,981.39665096,926.6851664,604.97386,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-10000-0528_2252.json,12500us,2ms,14.034737838511074,0.05,10ms,11773us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,1615,624us,true,true,0.01,false,8319us,false,1.9512089921535078,step,10ms,10ms
0529_1500,S_161142529,breakwaterd,1000,136.84429845432823,136.84429845432823,102.71263372000001,91.06520149999999,76.913269,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwaterd-parallel-capacity-1000-0529_1500.json,26591us,2ms,8.097836752950782,0.05,10ms,34867us,breakwaterd,true,1.1474597295337519,8754us,2892,true,100us,0,10ms,9.494892587070712,20,385,2141us,true,true,0.01,false,13268us,false,8.958862181960669,step,50492us,10ms
0530_2020,S_102000854,charon,16000,4499.041108346491,3791.75518504129,868.19193,709.01054,54.810036,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-16000-0530_2020.json,12500us,2ms,0.001,0.05,24302us,12500us,charon,true,0.001,1000us,400,true,1889us,48,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,19793us
0530_0042,S_102000854,dagor,13000,4177.504314892662,3603.8530819764765,307.65292436999994,256.78175469999996,139.413661,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-13000-0530_0042.json,12500us,1582us,0.001,0.274757894880173,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,5443us,0.02,16,400,10ms,true,true,2.6518845382867213,false,1000us,false,0.02,step,10ms,10ms
0530_2153,S_161142529,breakwater,16000,323.6930129731142,93.6200963797476,859.9613273900001,809.13071575,716.5790030000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-breakwater-parallel-capacity-16000-0530_2153.json,12500us,2ms,9.774654457497064,0.05,10ms,19091us,breakwater,true,0.001,1000us,400,true,100us,0,10ms,0.02,20,148,4895us,true,true,0.01,false,19840us,false,1.682357347464548,step,10ms,10ms
0530_0056,S_161142529,dagor,4000,3985.108290403189,3985.108290403189,86.14194901999998,80.58344340000001,72.29693750000001,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-dagor-parallel-capacity-4000-0530_0056.json,12500us,6193us,0.001,1.189880849637384,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,3806us,0.02,9,400,10ms,true,true,2.0144790634632894,false,1000us,false,0.02,step,10ms,10ms
0531_0602,S_102000854,dagor,16000,625.3051854253125,23.752218487789015,974.99623568,945.8818514999999,826.211777,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-16000-0531_0602.json,12500us,43209us,0.001,0.42810294820676,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,11458us,0.02,17,400,10ms,true,true,2.948000329259253,false,1000us,false,0.02,step,10ms,10ms
0531_0310,S_161142529,dagor,16000,3962.7311095894015,3946.2703126234555,333.64170995000006,274.8419505,135.66486700000002,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_161142529-control-dagor-parallel-capacity-16000-0531_0310.json,12500us,1000us,0.001,0.28728230544397093,10ms,12500us,dagor,true,0.001,1000us,400,true,100us,0,11785us,0.02,20,400,10ms,true,true,3.0,false,1000us,false,0.02,step,10ms,10ms
0530_0119,S_102000854,charon,10000,6062.600875136868,6012.961450970666,207.04467557000004,126.92826549999997,68.416238,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-10000-0530_0119.json,12500us,2ms,0.001,0.05,1530us,12500us,charon,true,0.001,1000us,400,true,6896us,126,10ms,0.02,20,400,10ms,true,true,0.01,false,1000us,true,0.02,proportional,10ms,22754us
