timestamp,interface,control_scheme,capacity,throughput,goodput,latency_99,latency_95,latency_median,filename,LAZY_UPDATE,RATE_LIMITING,BREAKWATER_TRACK_CREDIT,DAGOR_QUEUING_THRESHOLD,BREAKWATER_LOAD_SHEDDING,BREAKWATERD_LOAD_SHEDDING,BREAKWATER_RTT,PRICE_STRATEGY,PRICE_STEP,BREAKWATER_A,BREAKWATERD_CLIENT_EXPIRATION,BREAKWATERD_RTT,BREAKWATERD_INITIAL_CREDIT,CHARON_TRACK_PRICE,LOAD_SHEDDING,INTERCEPT,PRICE_UPDATE_RATE,TOKEN_UPDATE_RATE,BREAKWATER_INITIAL_CREDIT,DAGOR_ADMISSION_LEVEL_UPDATE_INTERVAL,BREAKWATERD_A,BREAKWATER_SLO,BREAKWATERD_B,LATENCY_THRESHOLD,BREAKWATER_CLIENT_EXPIRATION,BREAKWATERD_SLO,DAGOR_BETA,DAGOR_ALPHA,BREAKWATER_B,DAGOR_UMAX
0610_0629,S_102000854,charon,1000,955.0655392772887,955.0655392772887,45.29949427999999,43.7387801,41.6592,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-charon-parallel-capacity-1000-0610_0629.json,true,true,false,2ms,true,true,1000us,linear,148,0.001,10ms,1000us,400,false,true,charon,1391us,28631us,400,10ms,0.001,12500us,0.02,684us,10ms,12500us,0.01,0.05,0.02,20
0606_2317,motivate-get,plain,20000,12044.24854195715,11986.501234770298,35.18530060000003,24.423218,7.589705,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-plain-parallel-capacity-20000-0606_2317.json,false,true,false,2ms,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,plain,10ms,10ms,400,10ms,0.001,12500us,0.02,100us,10ms,12500us,0.01,0.05,0.02,20
0610_0557,S_102000854,dagor,12000,2187.626957742302,2187.626957742302,57.31667575000005,50.43108345,42.674733,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_102000854-control-dagor-parallel-capacity-12000-0610_0557.json,false,true,false,30940us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,8905us,0.001,12500us,0.02,100us,10ms,12500us,0.01786674812678446,0.5813312666476944,0.02,6
0608_0833,motivate-set,breakwater,24000,7468.27466521865,7216.899404620105,213.22228872000025,108.26802099999995,42.038181,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-24000-0608_0833.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0608_0316,motivate-set,dagor,26000,739.7202111703544,739.6185872919137,79.81499572000001,65.35843030000001,34.515315,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-26000-0608_0316.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0607_1425,motivate-set,breakwater,16000,4607.367077161648,4607.266000727952,54.32198822000001,41.6059178,25.717229,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-breakwater-parallel-capacity-16000-0607_1425.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0608_0041,motivate-set,dagor,28000,6234.459957029855,5859.875761065737,370.8701429999999,163.880942,36.958646,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-dagor-parallel-capacity-28000-0608_0041.json,false,true,false,69539us,true,true,1000us,step,0,0.001,10ms,1000us,400,false,true,dagor,10ms,10ms,400,16214us,0.001,12500us,0.02,100us,10ms,12500us,0.9402725344777285,1.936523151438795,0.02,18
0610_0406,motivate-get,charon,28000,4703.703172551917,3061.647423922687,976.76006145,673.67587055,25.7855705,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-28000-0610_0406.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_1324,motivate-set,charon,30000,13936.493415140487,10425.283763792213,638.3847904399976,395.2871179,67.17013499999999,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-set-control-charon-parallel-capacity-30000-0607_1324.json,true,true,false,2ms,true,true,1000us,linear,51,0.001,10ms,1000us,400,false,true,charon,20501us,26369us,400,10ms,0.001,12500us,0.02,1601us,10ms,12500us,0.01,0.05,0.02,20
0607_1451,motivate-get,charon,18000,7087.268689360124,7083.487559161913,20.963357390000006,13.782123749999997,5.9383395,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-charon-parallel-capacity-18000-0607_1451.json,true,true,false,2ms,true,true,1000us,linear,138,0.001,10ms,1000us,400,false,true,charon,5697us,14856us,400,10ms,0.001,12500us,0.02,193us,10ms,12500us,0.01,0.05,0.02,20
0607_2238,motivate-get,breakwater,12000,7160.272626182658,7157.412725272096,18.954848659999996,12.1434136,5.246165,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-12000-0607_2238.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
0609_1938,S_149998854,charon,10000,4646.275664244515,4646.275664244515,331.68482604000036,273.84122055,175.3589435,/home/jiali/Sync/Git/protobuf/ghz-results/social-S_149998854-control-charon-parallel-capacity-10000-0609_1938.json,true,true,false,2ms,true,true,1000us,linear,63,0.001,10ms,1000us,400,false,true,charon,8070us,70124us,400,10ms,0.001,12500us,0.02,13062us,10ms,12500us,0.01,0.05,0.02,20
0607_2350,motivate-get,breakwater,14000,8314.959262457967,8314.245838239824,19.921097080000006,13.768058000000002,5.645453,/home/jiali/Sync/Git/protobuf/ghz-results/social-motivate-get-control-breakwater-parallel-capacity-14000-0607_2350.json,false,true,false,2ms,true,true,8986us,step,0,0.869458465975631,10ms,1000us,400,false,true,breakwater,10ms,10ms,255,10ms,0.001,5724us,0.02,100us,484us,12500us,0.01,0.05,0.5056524813385149,20
